instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,full_solve_s,speedup_vs_full,objective,obj_vs_full_pct,d_obj_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_reason
assembly_2,3,0.1,full_ref,,22160,134216,134216,100.0,,200.672,0.0,276.769,276.769,276.769,1.0,1.0181,0.0,,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,full_ref
assembly_2,3,0.1,bl_union,1,22160,134216,41,0.03,41,200.672,1.817,0.262,2.08,276.769,133.09,1.0224,0.42,,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,bl_union,2,22160,134216,61,0.05,20,200.672,2.328,0.249,2.577,276.769,107.41,1.0224,0.42,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,bl_union,3,22160,134216,65,0.05,4,200.672,3.28,0.23,3.51,276.769,78.85,1.0224,0.42,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,bl_union,4,22160,134216,68,0.05,3,200.672,4.006,0.488,4.494,276.769,61.58,1.0224,0.42,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,bl_union,6,22160,134216,76,0.06,8,200.672,5.836,0.377,6.213,276.769,44.54,1.0224,0.42,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,bl_union,8,22160,134216,87,0.06,11,200.672,7.355,0.482,7.837,276.769,35.32,1.0224,0.42,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,bl_union,12,22160,134216,99,0.07,12,200.672,10.075,0.599,10.674,276.769,25.93,1.0224,0.42,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,bl_union,16,22160,134216,109,0.08,10,200.672,13.661,0.654,14.314,276.769,19.34,1.0224,0.42,-0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,bl_union,24,22160,134216,133,0.1,24,200.672,17.803,0.598,18.401,276.769,15.04,1.0224,0.42,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,bl_union,32,22160,134216,154,0.11,21,200.672,19.101,0.605,19.706,276.769,14.05,1.0181,0.0,0.4199,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,bl_union,48,22160,134216,163,0.12,9,200.672,32.175,0.563,32.738,276.769,8.45,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,bl_union,64,22160,134216,174,0.13,11,200.672,41.92,0.982,42.902,276.769,6.45,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,bl_union,96,22160,134216,197,0.15,23,200.672,61.658,0.45,62.108,276.769,4.46,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,bl_union,128,22160,134216,223,0.17,26,200.672,74.881,0.618,75.499,276.769,3.67,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,bl_union,192,22160,134216,252,0.19,29,200.672,110.982,0.817,111.799,276.769,2.48,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,bl_union,256,22160,134216,269,0.2,17,200.672,144.517,0.546,145.063,276.769,1.91,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,bl_union,384,22160,134216,280,0.21,11,200.672,213.003,0.983,213.986,276.769,1.29,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,bl_union,512,22160,134216,299,0.22,19,200.672,283.048,0.515,283.563,276.769,0.98,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,bl_union,768,22160,134216,368,0.27,69,200.672,414.332,1.202,415.534,276.769,0.67,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,bl_union,1024,22160,134216,389,0.29,21,200.672,525.504,0.735,526.239,276.769,0.53,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,bl_union,1536,22160,134216,402,0.3,13,200.672,776.821,1.306,778.127,276.769,0.36,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,bl_union,2048,22160,134216,430,0.32,28,200.672,1038.974,0.963,1039.937,276.769,0.27,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,bl_union,4096,22160,134216,522,0.39,92,200.672,2049.903,1.406,2051.309,276.769,0.13,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,adaptive,1,22160,134216,41,0.03,41,200.672,1.547,0.248,1.795,276.769,154.18,1.0224,0.42,,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,adaptive,2,22160,134216,61,0.05,20,200.672,2.037,0.231,2.269,276.769,122.0,1.0224,0.42,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,adaptive,3,22160,134216,65,0.05,4,200.672,2.521,0.211,2.731,276.769,101.33,1.0224,0.42,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,adaptive,4,22160,134216,68,0.05,3,200.672,2.955,0.454,3.409,276.769,81.19,1.0224,0.42,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,adaptive,6,22160,134216,76,0.06,8,200.672,4.112,0.35,4.462,276.769,62.03,1.0224,0.42,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,adaptive,8,22160,134216,87,0.06,11,200.672,5.165,0.442,5.608,276.769,49.35,1.0224,0.42,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,adaptive,12,22160,134216,99,0.07,12,200.672,7.428,0.551,7.979,276.769,34.69,1.0224,0.42,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,adaptive,16,22160,134216,109,0.08,10,200.672,10.002,0.613,10.615,276.769,26.07,1.0224,0.42,-0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,adaptive,24,22160,134216,133,0.1,24,200.672,13.171,0.576,13.748,276.769,20.13,1.0224,0.42,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.1,adaptive,32,22160,134216,154,0.11,21,200.672,17.213,0.566,17.778,276.769,15.57,1.0181,0.0,0.4199,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,adaptive,48,22160,134216,190,0.14,36,200.672,23.879,0.404,24.284,276.769,11.4,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,adaptive,64,22160,134216,402,0.3,212,200.672,22.42,0.862,23.282,276.769,11.89,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,adaptive,96,22160,134216,788,0.59,386,200.672,26.487,1.281,27.768,276.769,9.97,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,adaptive,128,22160,134216,1157,0.86,369,200.672,27.7,2.104,29.804,276.769,9.29,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,adaptive,192,22160,134216,1870,1.39,713,200.672,31.479,4.173,35.651,276.769,7.76,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,adaptive,256,22160,134216,2522,1.88,652,200.672,35.203,3.767,38.97,276.769,7.1,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,adaptive,384,22160,134216,3736,2.78,1214,200.672,44.932,5.259,50.191,276.769,5.51,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,adaptive,512,22160,134216,4890,3.64,1154,200.672,54.481,5.861,60.342,276.769,4.59,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,adaptive,768,22160,134216,6970,5.19,2080,200.672,70.84,11.062,81.902,276.769,3.38,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,adaptive,1024,22160,134216,8774,6.54,1804,200.672,96.713,18.618,115.331,276.769,2.4,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,adaptive,1536,22160,134216,12133,9.04,3359,200.672,139.885,22.189,162.074,276.769,1.71,1.0181,0.0,-0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.1,adaptive,2048,22160,134216,14880,11.09,2747,200.672,176.204,33.139,209.343,276.769,1.32,1.0181,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,stop_perc_graph
