instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,full_solve_s,speedup_vs_full,objective,obj_vs_full_pct,d_obj_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_reason
assembly_2,3,0.3,full_ref,,22160,134216,134216,100.0,,199.472,0.0,1951.288,1951.288,1951.288,1.0,1.0276,0.0,,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,full_ref
assembly_2,3,0.3,bl_union,1,22160,134216,41,0.03,41,199.472,1.424,0.189,1.613,1951.288,1209.85,1.031,0.32,,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.3,bl_union,2,22160,134216,61,0.05,20,199.472,2.055,0.227,2.282,1951.288,854.99,1.031,0.32,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.3,bl_union,3,22160,134216,65,0.05,4,199.472,2.721,0.266,2.986,1951.288,653.38,1.031,0.32,-0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.3,bl_union,4,22160,134216,68,0.05,3,199.472,3.222,0.361,3.582,1951.288,544.69,1.031,0.32,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.3,bl_union,6,22160,134216,76,0.06,8,199.472,4.343,0.385,4.728,1951.288,412.67,1.031,0.32,-0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.3,bl_union,8,22160,134216,87,0.06,11,199.472,5.475,0.67,6.145,1951.288,317.55,1.031,0.32,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.3,bl_union,12,22160,134216,99,0.07,12,199.472,7.699,0.371,8.07,1951.288,241.78,1.031,0.32,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.3,bl_union,16,22160,134216,109,0.08,10,199.472,10.072,0.537,10.608,1951.288,183.94,1.031,0.32,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.3,bl_union,24,22160,134216,133,0.1,24,199.472,14.128,0.417,14.544,1951.288,134.16,1.031,0.32,0.0,939,0.0,864,939,31.478,8.37,"[864, 939, 886]","[4, 6, 7]",17,
assembly_2,3,0.3,bl_union,32,22160,134216,154,0.11,21,199.472,17.338,0.415,17.753,1951.288,109.91,1.0276,0.0,0.3239,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.3,bl_union,48,22160,134216,163,0.12,9,199.472,26.08,0.412,26.492,1951.288,73.66,1.0276,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.3,bl_union,64,22160,134216,174,0.13,11,199.472,35.315,0.37,35.686,1951.288,54.68,1.0276,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.3,bl_union,96,22160,134216,197,0.15,23,199.472,51.668,0.425,52.093,1951.288,37.46,1.0276,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.3,bl_union,128,22160,134216,223,0.17,26,199.472,68.707,0.591,69.298,1951.288,28.16,1.0276,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.3,bl_union,192,22160,134216,252,0.19,29,199.472,99.475,0.444,99.919,1951.288,19.53,1.0276,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.3,bl_union,256,22160,134216,269,0.2,17,199.472,129.635,0.584,130.219,1951.288,14.98,1.0276,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
assembly_2,3,0.3,bl_union,384,22160,134216,280,0.21,11,199.472,198.092,0.53,198.621,1951.288,9.82,1.0276,0.0,0.0,939,0.0,864,939,31.478,8.37,"[939, 864, 886]","[5, 5, 7]",17,
