instance,num_phases,w_balanced,strategy,weight_attr,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,digraph_build_s,build_s,solve_s,elapsed_s,speedup_vs_full,objective,obj_vs_full_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total
assembly_1,2,0.7,full_mip,—,,343,1105,1105,100.0,0.24,0.0,5.304,5.304,1.0,0.8415,0.0,1092.52,0.0,1064.33,1092.52,14.095,2.61,"[1092.52, 1064.33]","[6, 7]",13
assembly_1,2,0.7,subgraph_mip,edge_weight,1,343,1105,13,1.18,0.24,0.001,0.012,0.014,391.82,0.8457,0.5,1102.04,0.87,1054.81,1102.04,23.615,4.38,"[1102.04, 1054.81]","[6, 7]",13
assembly_1,2,0.7,subgraph_mip,time_balanced_weight,1,343,1105,13,1.18,0.24,0.002,0.005,0.007,815.44,0.9785,16.29,1160.13,6.19,996.72,1160.13,81.705,15.15,"[1160.13, 996.72]","[6, 7]",13
assembly_1,2,0.7,subgraph_mip,combined,1,343,1105,26,2.35,0.24,0.004,0.006,0.01,542.32,0.8457,0.5,1102.04,0.87,1054.81,1102.04,23.615,4.38,"[1102.04, 1054.81]","[6, 7]",13
assembly_1,2,0.7,subgraph_mip,blended,1,343,1105,13,1.18,0.24,0.002,0.005,0.007,794.64,0.8415,-0.0,1092.52,0.0,1064.33,1092.52,14.095,2.61,"[1092.52, 1064.33]","[6, 7]",13
assembly_1,2,0.7,subgraph_mip,blended_union,1,343,1105,31,2.81,0.24,0.017,0.058,0.075,70.79,0.8415,-0.0,1092.52,0.0,1064.33,1092.52,14.095,2.61,"[1092.52, 1064.33]","[6, 7]",13
assembly_1,2,0.7,subgraph_mip,diverse,1,343,1105,13,1.18,0.24,0.005,0.005,0.011,483.9,0.8415,-0.0,1092.52,0.0,1064.33,1092.52,14.095,2.61,"[1092.52, 1064.33]","[6, 7]",13
assembly_1,2,0.7,subgraph_mip,edge_weight,2,343,1105,15,1.36,0.24,0.003,0.036,0.039,134.88,0.8457,0.5,1102.04,0.87,1054.81,1102.04,23.615,4.38,"[1102.04, 1054.81]","[6, 7]",13
assembly_1,2,0.7,subgraph_mip,time_balanced_weight,2,343,1105,20,1.81,0.24,0.002,0.035,0.037,143.39,0.9696,15.23,1088.33,-0.38,1068.52,1088.33,9.905,1.84,"[1088.33, 1068.52]","[6, 7]",13
assembly_1,2,0.7,subgraph_mip,combined,2,343,1105,35,3.17,0.24,0.006,0.03,0.036,147.98,0.8457,0.5,1102.04,0.87,1054.81,1102.04,23.615,4.38,"[1102.04, 1054.81]","[6, 7]",13
