instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_perc_graph,stop_reason
assembly_2,3,0.1,adaptive,1,22160,134216,41,0.03,41,197.002,1.268,0.187,1.455,1.0224,1.0126,0.96,,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.1,adaptive,2,22160,134216,61,0.05,20,197.002,1.904,0.153,2.057,1.0224,1.0126,0.96,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.1,adaptive,3,22160,134216,65,0.05,4,197.002,2.243,0.24,2.482,1.0224,1.0126,0.96,-0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.1,adaptive,4,22160,134216,68,0.05,3,197.002,2.706,0.336,3.042,1.0224,1.0126,0.96,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.1,adaptive,6,22160,134216,76,0.06,8,197.002,3.614,0.459,4.073,1.0224,1.0126,0.96,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.1,adaptive,8,22160,134216,87,0.06,11,197.002,4.445,0.348,4.793,1.0224,1.0126,0.96,-0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.1,adaptive,12,22160,134216,99,0.07,12,197.002,6.222,0.864,7.086,1.0224,1.0126,0.96,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.1,adaptive,16,22160,134216,109,0.08,10,197.002,7.952,0.34,8.292,1.0224,1.0126,0.96,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.1,adaptive,24,22160,134216,133,0.1,24,197.002,10.904,0.734,11.638,1.0224,1.0126,0.96,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.1,adaptive,32,22160,134216,154,0.11,21,197.002,14.037,0.408,14.445,1.0181,1.0126,0.54,0.4199,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.1,adaptive,48,22160,134216,190,0.14,36,197.002,19.03,0.648,19.678,1.0181,1.0126,0.54,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.1,adaptive,64,22160,134216,402,0.3,212,197.002,20.079,1.211,21.29,1.0181,1.0126,0.54,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.1,adaptive,96,22160,134216,788,0.59,386,197.002,21.351,1.153,22.504,1.0181,1.0126,0.54,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.1,adaptive,128,22160,134216,1157,0.86,369,197.002,23.227,2.484,25.711,1.0181,1.0126,0.54,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.1,adaptive,192,22160,134216,1870,1.39,713,197.002,26.405,3.547,29.952,1.0181,1.0126,0.54,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.1,adaptive,256,22160,134216,2522,1.88,652,197.002,31.503,6.269,37.772,1.0181,1.0126,0.54,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
