instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_perc_graph,stop_reason
assembly_2,3,0.3,adaptive,1,22160,134216,41,0.03,41,182.555,0.746,0.234,0.979,1.031,1.0126,1.81,,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.3,adaptive,2,22160,134216,61,0.05,20,182.555,0.998,0.115,1.114,1.031,1.0126,1.81,-0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.3,adaptive,3,22160,134216,65,0.05,4,182.555,1.143,0.238,1.381,1.031,1.0126,1.81,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.3,adaptive,4,22160,134216,68,0.05,3,182.555,1.372,0.245,1.617,1.031,1.0126,1.81,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.3,adaptive,6,22160,134216,76,0.06,8,182.555,1.777,0.398,2.175,1.031,1.0126,1.81,-0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.3,adaptive,8,22160,134216,87,0.06,11,182.555,2.198,0.349,2.546,1.031,1.0126,1.81,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.3,adaptive,12,22160,134216,99,0.07,12,182.555,3.002,0.183,3.185,1.031,1.0126,1.81,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.3,adaptive,16,22160,134216,109,0.08,10,182.555,3.784,0.165,3.949,1.031,1.0126,1.81,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.3,adaptive,24,22160,134216,133,0.1,24,182.555,5.167,0.343,5.51,1.031,1.0126,1.81,0.0,1.0181,1.0126,0.54,939,896.333,4.76,8.37,"[864, 939, 886]","[4, 6, 7]",17,3.0,
assembly_2,3,0.3,adaptive,32,22160,134216,154,0.11,21,182.555,6.584,0.307,6.89,1.0276,1.0126,1.48,0.3239,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.3,adaptive,48,22160,134216,196,0.15,42,182.555,8.866,0.464,9.33,1.0276,1.0126,1.48,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.3,adaptive,64,22160,134216,402,0.3,206,182.555,9.205,0.673,9.879,1.0276,1.0126,1.48,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.3,adaptive,96,22160,134216,789,0.59,387,182.555,9.922,1.925,11.847,1.0276,1.0126,1.48,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.3,adaptive,128,22160,134216,1160,0.86,371,182.555,10.622,2.706,13.328,1.0276,1.0126,1.48,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.3,adaptive,192,22160,134216,1871,1.39,711,182.555,12.119,4.612,16.731,1.0276,1.0126,1.48,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.3,adaptive,256,22160,134216,2521,1.88,650,182.555,13.727,30.377,44.104,1.0276,1.0126,1.48,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,
assembly_2,3,0.3,adaptive,512,22160,134216,4890,3.64,2369,182.555,19.916,35.973,55.889,1.0276,1.0126,1.48,0.0,1.0134,1.0126,0.07,939,896.333,4.76,8.37,"[939, 864, 886]","[5, 5, 7]",17,3.0,stop_perc_graph
