instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_perc_graph,stop_reason
assembly_1,3,0.7,adaptive,1,343,1105,37,3.35,37,0.292,0.011,0.332,0.343,0.8608,0.8329,3.34,,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.7,adaptive,2,343,1105,42,3.8,5,0.292,0.022,0.43,0.452,0.8608,0.8329,3.34,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.7,adaptive,3,343,1105,48,4.34,6,0.292,0.035,0.499,0.534,0.8608,0.8329,3.34,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.7,adaptive,4,343,1105,54,4.89,6,0.292,0.035,0.199,0.234,0.8608,0.8329,3.34,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.7,adaptive,6,343,1105,64,5.79,10,0.292,0.056,0.302,0.358,0.8608,0.8329,3.34,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.7,adaptive,8,343,1105,73,6.61,9,0.292,0.052,0.279,0.331,0.8608,0.8329,3.34,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.7,adaptive,12,343,1105,83,7.51,10,0.292,0.103,0.925,1.029,0.8608,0.8329,3.34,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.7,adaptive,16,343,1105,89,8.05,6,0.292,0.126,0.418,0.544,0.8608,0.8329,3.34,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.7,adaptive,24,343,1105,150,13.57,61,0.292,0.106,0.671,0.777,0.8608,0.8329,3.34,-0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,stop_perc_graph
