instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_perc_graph,stop_reason
assembly_1,3,0.1,adaptive,1,343,1105,37,3.35,37,0.234,0.012,0.129,0.141,0.8414,0.8329,1.02,,0.8329,0.8329,0.0,792,718.95,10.16,28.93,"[584.04, 792, 780.81]","[3, 5, 5]",13,10.0,
assembly_1,3,0.1,adaptive,2,343,1105,42,3.8,5,0.234,0.027,0.262,0.289,0.8412,0.8329,0.99,0.0259,0.8332,0.8329,0.03,788.33,718.95,9.65,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,10.0,
assembly_1,3,0.1,adaptive,3,343,1105,48,4.34,6,0.234,0.035,0.259,0.294,0.8412,0.8329,0.99,0.0,0.8332,0.8329,0.03,788.33,718.95,9.65,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,10.0,
assembly_1,3,0.1,adaptive,4,343,1105,54,4.89,6,0.234,0.034,0.27,0.304,0.8412,0.8329,0.99,0.0,0.8332,0.8329,0.03,788.33,718.95,9.65,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,10.0,
assembly_1,3,0.1,adaptive,6,343,1105,64,5.79,10,0.234,0.053,0.479,0.532,0.8412,0.8329,0.99,0.0,0.8332,0.8329,0.03,788.33,718.95,9.65,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,10.0,
assembly_1,3,0.1,adaptive,8,343,1105,73,6.61,9,0.234,0.076,0.605,0.681,0.8412,0.8329,0.99,0.0,0.8332,0.8329,0.03,788.33,718.95,9.65,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,10.0,
assembly_1,3,0.1,adaptive,12,343,1105,83,7.51,10,0.234,0.091,0.639,0.729,0.8412,0.8329,0.99,-0.0,0.8332,0.8329,0.03,788.33,718.95,9.65,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,10.0,
assembly_1,3,0.1,adaptive,16,343,1105,89,8.05,6,0.234,0.135,0.75,0.885,0.8412,0.8329,0.99,0.0,0.8332,0.8329,0.03,788.33,718.95,9.65,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,10.0,
assembly_1,3,0.1,adaptive,24,343,1105,152,13.76,63,0.234,0.104,0.42,0.523,0.8412,0.8329,0.99,-0.0,0.8332,0.8329,0.03,788.33,718.95,9.65,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,10.0,stop_perc_graph
