instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_perc_graph,stop_reason
assembly_1,3,0.4,adaptive,1,343,1105,37,3.35,37,0.28,0.009,0.243,0.253,0.856,0.8329,2.77,,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.4,adaptive,2,343,1105,42,3.8,5,0.28,0.018,0.74,0.758,0.856,0.8329,2.77,-0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.4,adaptive,3,343,1105,48,4.34,6,0.28,0.021,0.777,0.798,0.856,0.8329,2.77,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.4,adaptive,4,343,1105,54,4.89,6,0.28,0.034,0.698,0.732,0.856,0.8329,2.77,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.4,adaptive,6,343,1105,64,5.79,10,0.28,0.082,0.405,0.487,0.856,0.8329,2.77,-0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.4,adaptive,8,343,1105,73,6.61,9,0.28,0.062,0.648,0.71,0.856,0.8329,2.77,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.4,adaptive,12,343,1105,83,7.51,10,0.28,0.072,0.509,0.581,0.856,0.8329,2.77,-0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.4,adaptive,16,343,1105,89,8.05,6,0.28,0.094,0.293,0.387,0.856,0.8329,2.77,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.4,adaptive,24,343,1105,150,13.57,61,0.28,0.105,0.587,0.692,0.856,0.8329,2.77,-0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,stop_perc_graph
