instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_perc_graph,stop_reason
assembly_1,3,0.2,adaptive,1,343,1105,37,3.35,37,0.274,0.009,0.217,0.226,0.8499,0.8329,2.03,,0.8329,0.8329,0.0,792,718.95,10.16,28.93,"[584.04, 792, 780.81]","[3, 5, 5]",13,10.0,
assembly_1,3,0.2,adaptive,2,343,1105,42,3.8,5,0.274,0.015,0.227,0.242,0.8492,0.8329,1.95,0.0784,0.8332,0.8329,0.03,788.33,718.95,9.65,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,10.0,
assembly_1,3,0.2,adaptive,3,343,1105,48,4.34,6,0.274,0.024,0.465,0.489,0.8492,0.8329,1.95,-0.0,0.8332,0.8329,0.03,788.33,718.95,9.65,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,10.0,
assembly_1,3,0.2,adaptive,4,343,1105,54,4.89,6,0.274,0.044,0.504,0.548,0.8492,0.8329,1.95,0.0,0.8332,0.8329,0.03,788.33,718.95,9.65,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,10.0,
assembly_1,3,0.2,adaptive,6,343,1105,64,5.79,10,0.274,0.043,0.277,0.32,0.8492,0.8329,1.95,0.0,0.8332,0.8329,0.03,788.33,718.95,9.65,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,10.0,
assembly_1,3,0.2,adaptive,8,343,1105,73,6.61,9,0.274,0.064,0.687,0.751,0.8492,0.8329,1.95,0.0,0.8332,0.8329,0.03,788.33,718.95,9.65,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,10.0,
assembly_1,3,0.2,adaptive,12,343,1105,83,7.51,10,0.274,0.111,1.023,1.134,0.8492,0.8329,1.95,0.0,0.8332,0.8329,0.03,788.33,718.95,9.65,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,10.0,
assembly_1,3,0.2,adaptive,16,343,1105,89,8.05,6,0.274,0.101,0.405,0.506,0.8492,0.8329,1.95,0.0,0.8332,0.8329,0.03,788.33,718.95,9.65,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,10.0,
assembly_1,3,0.2,adaptive,24,343,1105,150,13.57,61,0.274,0.13,0.435,0.565,0.8492,0.8329,1.95,-0.0,0.8332,0.8329,0.03,788.33,718.95,9.65,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13,10.0,stop_perc_graph
