instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_perc_graph,stop_reason
assembly_1,3,0.9,adaptive,1,343,1105,37,3.35,37,0.25,0.012,0.254,0.266,0.864,0.8329,3.73,,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.9,adaptive,2,343,1105,42,3.8,5,0.25,0.018,0.202,0.22,0.864,0.8329,3.73,-0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.9,adaptive,3,343,1105,48,4.34,6,0.25,0.036,0.206,0.241,0.864,0.8329,3.73,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.9,adaptive,4,343,1105,54,4.89,6,0.25,0.032,0.331,0.364,0.864,0.8329,3.73,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.9,adaptive,6,343,1105,64,5.79,10,0.25,0.052,0.264,0.316,0.864,0.8329,3.73,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.9,adaptive,8,343,1105,73,6.61,9,0.25,0.071,0.235,0.306,0.864,0.8329,3.73,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.9,adaptive,12,343,1105,83,7.51,10,0.25,0.089,0.311,0.4,0.864,0.8329,3.73,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.9,adaptive,16,343,1105,89,8.05,6,0.25,0.118,0.348,0.467,0.864,0.8329,3.73,0.0,0.8496,0.8329,2.0,747.12,718.95,3.92,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13,10.0,
assembly_1,3,0.9,adaptive,24,343,1105,149,13.48,60,0.25,0.121,0.7,0.821,0.8636,0.8329,3.68,0.0482,1.103,0.8329,32.42,722.42,718.95,0.48,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13,10.0,stop_perc_graph
