instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_reason
assembly_1,7,0.8,adaptive,1,343,1105,35,3.17,35,0.244,0.02,2.826,2.846,0.9136,0.8329,9.68,,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.8,adaptive,2,343,1105,41,3.71,6,0.244,0.021,0.482,0.503,0.9136,0.8329,9.68,0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.8,adaptive,3,343,1105,47,4.25,6,0.244,0.024,0.828,0.852,0.9136,0.8329,9.68,-0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.8,adaptive,4,343,1105,51,4.62,4,0.244,0.047,0.925,0.972,0.9136,0.8329,9.68,0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.8,adaptive,6,343,1105,60,5.43,9,0.244,0.054,2.361,2.414,0.9136,0.8329,9.68,0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.8,adaptive,8,343,1105,62,5.61,2,0.244,0.06,1.174,1.234,0.9136,0.8329,9.68,-0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.8,adaptive,12,343,1105,69,6.24,7,0.244,0.142,1.379,1.521,0.9136,0.8329,9.68,0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.8,adaptive,16,343,1105,78,7.06,9,0.244,0.151,1.811,1.963,0.9136,0.8329,9.68,0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.8,adaptive,24,343,1105,106,9.59,28,0.244,0.187,2.753,2.94,0.9136,0.8329,9.68,0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.8,adaptive,32,343,1105,183,16.56,77,0.244,0.192,4.215,4.407,0.9136,0.8329,9.68,-0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,stop_perc_graph
