instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_reason
assembly_1,7,0.4,adaptive,1,343,1105,35,3.17,35,0.346,0.011,0.91,0.922,0.8836,0.8329,6.08,,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.4,adaptive,2,343,1105,41,3.71,6,0.346,0.028,1.796,1.824,0.8836,0.8329,6.08,-0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.4,adaptive,3,343,1105,47,4.25,6,0.346,0.027,1.274,1.301,0.8836,0.8329,6.08,0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.4,adaptive,4,343,1105,51,4.62,4,0.346,0.03,1.76,1.79,0.8836,0.8329,6.08,0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.4,adaptive,6,343,1105,60,5.43,9,0.346,0.072,1.676,1.748,0.8836,0.8329,6.08,0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.4,adaptive,8,343,1105,62,5.61,2,0.346,0.058,0.832,0.891,0.8836,0.8329,6.08,-0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.4,adaptive,12,343,1105,69,6.24,7,0.346,0.103,2.054,2.157,0.8836,0.8329,6.08,0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.4,adaptive,16,343,1105,78,7.06,9,0.346,0.144,1.612,1.757,0.8836,0.8329,6.08,0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,
assembly_1,7,0.4,adaptive,24,343,1105,124,11.22,46,0.346,0.23,2.601,2.831,0.8836,0.8329,6.08,0.0,0.8536,0.8329,2.49,343.5,308.121,11.48,31.99,"[339.12, 244.92, 342.48, 332, 278.83, 343.5, 276]","[2, 1, 2, 2, 2, 2, 2]",13,stop_perc_graph
