instance,num_phases,w_balanced,strategy,weight_attr,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,digraph_build_s,build_s,solve_s,elapsed_s,speedup_vs_full,objective,obj_vs_full_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total
assembly_1,3,0.7,full_mip,—,,343,1105,1105,100.0,0.288,0.0,53.249,53.249,1.0,0.8603,0.0,747.12,0.0,680.33,747.12,28.25,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13
assembly_1,3,0.7,subgraph_mip,edge_weight,1,343,1105,13,1.18,0.288,0.001,0.026,0.027,1942.76,0.8922,3.71,792,6.01,584.04,792,95.505,28.93,"[584.04, 792, 780.81]","[3, 5, 5]",13
assembly_1,3,0.7,subgraph_mip,time_balanced_weight,1,343,1105,13,1.18,0.288,0.001,0.037,0.038,1412.44,0.9423,9.53,731.84,-2.05,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.7,subgraph_mip,combined,1,343,1105,26,2.35,0.288,0.002,0.118,0.12,445.27,0.8922,3.71,792,6.01,584.04,792,95.505,28.93,"[584.04, 792, 780.81]","[3, 5, 5]",13
assembly_1,3,0.7,subgraph_mip,blended,1,343,1105,13,1.18,0.288,0.001,0.024,0.025,2134.68,0.9168,6.57,722.42,-3.31,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.7,subgraph_mip,blended_union,1,343,1105,37,3.35,0.288,0.011,0.334,0.345,154.29,0.8608,0.06,747.12,0.0,680.33,747.12,28.25,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13
assembly_1,3,0.7,subgraph_mip,diverse,1,343,1105,13,1.18,0.288,0.004,0.023,0.027,1962.32,0.9168,6.57,722.42,-3.31,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.7,subgraph_mip,edge_weight,2,343,1105,15,1.36,0.288,0.004,0.128,0.132,403.98,0.8893,3.37,788.33,5.52,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13
assembly_1,3,0.7,subgraph_mip,time_balanced_weight,2,343,1105,15,1.36,0.288,0.008,0.062,0.07,759.87,0.9394,9.19,731.84,-2.05,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.7,subgraph_mip,combined,2,343,1105,30,2.71,0.288,0.015,0.108,0.123,432.09,0.8893,3.37,788.33,5.52,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13
assembly_1,3,0.7,subgraph_mip,blended,2,343,1105,15,1.36,0.288,0.006,0.023,0.03,1802.21,0.9168,6.57,722.42,-3.31,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.7,subgraph_mip,blended_union,2,343,1105,42,3.8,0.288,0.035,0.513,0.548,97.19,0.8608,0.06,747.12,0.0,680.33,747.12,28.25,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13
assembly_1,3,0.7,subgraph_mip,diverse,2,343,1105,26,2.35,0.288,0.006,0.102,0.108,491.73,0.9071,5.44,731.84,-2.05,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.7,subgraph_mip,edge_weight,5,343,1105,21,1.9,0.288,0.016,0.196,0.212,251.06,0.8893,3.37,788.33,5.52,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13
assembly_1,3,0.7,subgraph_mip,time_balanced_weight,5,343,1105,44,3.98,0.288,0.02,0.19,0.209,254.35,0.9394,9.19,731.84,-2.05,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.7,subgraph_mip,combined,5,343,1105,65,5.88,0.288,0.033,0.305,0.338,157.48,0.8893,3.37,788.33,5.52,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13
assembly_1,3,0.7,subgraph_mip,blended,5,343,1105,19,1.72,0.288,0.021,0.11,0.131,406.49,0.9168,6.57,722.42,-3.31,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.7,subgraph_mip,blended_union,5,343,1105,60,5.43,0.288,0.069,0.281,0.35,152.24,0.8608,0.06,747.12,0.0,680.33,747.12,28.25,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13
assembly_1,3,0.7,subgraph_mip,diverse,5,343,1105,65,5.88,0.288,0.013,0.391,0.405,131.6,0.8716,1.32,747.12,0.0,689.75,747.12,23.433,7.98,"[747.12, 689.75, 719.98]","[4, 4, 5]",13
assembly_1,3,0.7,subgraph_mip,edge_weight,10,343,1105,24,2.17,0.288,0.045,0.255,0.3,177.53,0.8893,3.37,788.33,5.52,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13
