instance,num_phases,w_balanced,strategy,weight_attr,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,digraph_build_s,build_s,solve_s,elapsed_s,speedup_vs_full,objective,obj_vs_full_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total
assembly_1,3,0.85,full_mip,—,,343,1105,1105,100.0,0.429,0.0,146.905,146.905,1.0,0.8629,0.0,747.12,0.0,680.33,747.12,28.25,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13
assembly_1,3,0.85,subgraph_mip,edge_weight,1,343,1105,13,1.18,0.429,0.002,0.026,0.028,5293.1,0.9049,4.86,792,6.01,584.04,792,95.505,28.93,"[584.04, 792, 780.81]","[3, 5, 5]",13
assembly_1,3,0.85,subgraph_mip,time_balanced_weight,1,343,1105,13,1.18,0.429,0.001,0.034,0.035,4191.22,0.8951,3.72,731.84,-2.05,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.85,subgraph_mip,combined,1,343,1105,26,2.35,0.429,0.002,0.436,0.437,335.79,0.8951,3.72,731.84,-2.05,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.85,subgraph_mip,blended,1,343,1105,13,1.18,0.429,0.001,0.041,0.042,3520.25,0.8769,1.61,722.42,-3.31,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.85,subgraph_mip,blended_union,1,343,1105,37,3.35,0.429,0.011,0.367,0.378,388.45,0.8632,0.03,747.12,0.0,680.33,747.12,28.25,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13
assembly_1,3,0.85,subgraph_mip,diverse,1,343,1105,13,1.18,0.429,0.004,0.034,0.037,3918.3,0.8769,1.61,722.42,-3.31,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.85,subgraph_mip,edge_weight,2,343,1105,15,1.36,0.429,0.004,0.169,0.173,850.73,0.9013,4.45,788.33,5.52,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13
assembly_1,3,0.85,subgraph_mip,time_balanced_weight,2,343,1105,15,1.36,0.429,0.005,0.056,0.061,2417.81,0.8936,3.56,731.84,-2.05,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.85,subgraph_mip,combined,2,343,1105,30,2.71,0.429,0.009,0.155,0.164,897.43,0.8936,3.56,731.84,-2.05,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
