instance,num_phases,w_balanced,strategy,weight_attr,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,digraph_build_s,build_s,solve_s,elapsed_s,speedup_vs_full,objective,obj_vs_full_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total
assembly_1,3,0.35,full_mip,—,,343,1105,1105,100.0,0.386,0.0,44.528,44.528,1.0,0.8541,0.0,747.12,0.0,680.33,747.12,28.25,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13
assembly_1,3,0.35,subgraph_mip,edge_weight,1,343,1105,13,1.18,0.386,0.004,0.082,0.085,521.73,0.8625,0.99,792,6.01,584.04,792,95.505,28.93,"[584.04, 792, 780.81]","[3, 5, 5]",13
assembly_1,3,0.35,subgraph_mip,time_balanced_weight,1,343,1105,13,1.18,0.386,0.01,0.131,0.141,315.91,1.0524,23.21,731.84,-2.05,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.35,subgraph_mip,combined,1,343,1105,26,2.35,0.386,0.003,0.789,0.792,56.24,0.8625,0.99,792,6.01,584.04,792,95.505,28.93,"[584.04, 792, 780.81]","[3, 5, 5]",13
assembly_1,3,0.35,subgraph_mip,blended,1,343,1105,13,1.18,0.386,0.006,0.069,0.076,589.36,0.8688,1.72,747.12,0.0,689.75,747.12,23.433,7.98,"[747.12, 689.75, 719.98]","[4, 4, 5]",13
assembly_1,3,0.35,subgraph_mip,blended_union,1,343,1105,37,3.35,0.386,0.032,0.918,0.95,46.89,0.8552,0.13,747.12,0.0,680.33,747.12,28.25,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13
assembly_1,3,0.35,subgraph_mip,diverse,1,343,1105,13,1.18,0.386,0.01,0.017,0.026,1683.66,0.8688,1.72,747.12,0.0,689.75,747.12,23.433,7.98,"[747.12, 689.75, 719.98]","[4, 4, 5]",13
assembly_1,3,0.35,subgraph_mip,edge_weight,2,343,1105,15,1.36,0.386,0.004,0.092,0.096,464.56,0.8612,0.83,788.33,5.52,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13
assembly_1,3,0.35,subgraph_mip,time_balanced_weight,2,343,1105,15,1.36,0.386,0.005,0.076,0.081,550.12,1.0461,22.48,731.84,-2.05,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.35,subgraph_mip,combined,2,343,1105,30,2.71,0.386,0.009,0.14,0.149,298.19,0.8612,0.83,788.33,5.52,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13
assembly_1,3,0.35,subgraph_mip,blended,2,343,1105,15,1.36,0.386,0.004,0.033,0.038,1184.04,0.8688,1.72,747.12,0.0,689.75,747.12,23.433,7.98,"[747.12, 689.75, 719.98]","[4, 4, 5]",13
assembly_1,3,0.35,subgraph_mip,blended_union,2,343,1105,42,3.8,0.386,0.02,0.33,0.349,127.45,0.8552,0.13,747.12,0.0,680.33,747.12,28.25,9.29,"[747.12, 729.4, 680.33]","[4, 5, 4]",13
assembly_1,3,0.35,subgraph_mip,diverse,2,343,1105,26,2.35,0.386,0.004,0.601,0.606,73.53,0.8688,1.72,747.12,0.0,689.75,747.12,23.433,7.98,"[747.12, 689.75, 719.98]","[4, 4, 5]",13
