instance,num_phases,w_balanced,strategy,weight_attr,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,digraph_build_s,build_s,solve_s,elapsed_s,speedup_vs_full,objective,obj_vs_full_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total
assembly_1,3,0.95,full_mip,—,,343,1105,1105,100.0,1.308,0.0,122.989,122.989,1.0,0.8502,0.0,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,edge_weight,1,343,1105,13,1.18,1.308,0.002,0.034,0.035,3510.68,0.9133,7.42,792,9.63,584.04,792,95.505,28.93,"[584.04, 792, 780.81]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,time_balanced_weight,1,343,1105,13,1.18,1.308,0.001,0.027,0.028,4330.49,0.8636,1.57,731.84,1.3,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,combined,1,343,1105,26,2.35,1.308,0.002,0.174,0.176,699.34,0.8636,1.57,731.84,1.3,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,blended,1,343,1105,13,1.18,1.308,0.001,0.023,0.023,5247.5,0.8502,0.0,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,blended_union,1,343,1105,37,3.35,1.308,0.02,0.249,0.268,458.77,0.8614,1.32,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,diverse,1,343,1105,13,1.18,1.308,0.007,0.028,0.034,3580.95,0.8502,0.0,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,edge_weight,2,343,1105,15,1.36,1.308,0.004,0.076,0.08,1537.56,0.9093,6.94,788.33,9.12,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,time_balanced_weight,2,343,1105,15,1.36,1.308,0.005,0.038,0.043,2867.86,0.8631,1.51,731.84,1.3,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,combined,2,343,1105,30,2.71,1.308,0.008,0.431,0.44,279.58,0.8631,1.51,731.84,1.3,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,blended,2,343,1105,15,1.36,1.308,0.003,0.038,0.041,2999.1,0.8502,-0.0,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,blended_union,2,343,1105,42,3.8,1.308,0.019,0.236,0.254,484.05,0.8614,1.32,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,diverse,2,343,1105,26,2.35,1.308,0.006,0.173,0.179,687.04,0.8502,-0.0,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,edge_weight,5,343,1105,21,1.9,1.308,0.013,0.103,0.115,1065.32,0.9093,6.94,788.33,9.12,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,time_balanced_weight,5,343,1105,44,3.98,1.308,0.021,0.7,0.721,170.64,0.8631,1.51,731.84,1.3,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,combined,5,343,1105,65,5.88,1.308,0.038,0.276,0.314,391.36,0.8631,1.51,731.84,1.3,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,blended,5,343,1105,19,1.72,1.308,0.016,0.109,0.124,988.31,0.8502,-0.0,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,blended_union,5,343,1105,60,5.43,1.308,0.065,0.276,0.341,361.05,0.8614,1.32,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,diverse,5,343,1105,65,5.88,1.308,0.005,0.326,0.332,370.76,0.8502,0.0,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,edge_weight,10,343,1105,24,2.17,1.308,0.026,0.165,0.191,645.38,0.9093,6.94,788.33,9.12,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,time_balanced_weight,10,343,1105,57,5.16,1.308,0.034,0.343,0.377,326.37,0.863,1.5,731.84,1.3,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,combined,10,343,1105,81,7.33,1.308,0.086,0.393,0.478,257.06,0.863,1.5,731.84,1.3,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,blended,10,343,1105,28,2.53,1.308,0.022,0.137,0.159,771.16,0.8502,-0.0,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,blended_union,10,343,1105,75,6.79,1.308,0.115,0.318,0.434,283.5,0.8594,1.08,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,diverse,10,343,1105,126,11.4,1.308,0.008,0.486,0.493,249.24,0.8502,0.0,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,edge_weight,20,343,1105,35,3.17,1.308,0.076,0.197,0.273,450.64,0.9093,6.94,788.33,9.12,584.04,788.33,95.409,28.42,"[584.04, 784.48, 788.33]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,time_balanced_weight,20,343,1105,73,6.61,1.308,0.073,0.372,0.445,276.33,0.8605,1.2,731.84,1.3,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,combined,20,343,1105,107,9.68,1.308,0.178,0.519,0.697,176.38,0.8605,1.2,731.84,1.3,705.03,731.84,10.969,3.73,"[731.84, 705.03, 719.98]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,blended,20,343,1105,33,2.99,1.308,0.04,0.155,0.195,631.26,0.8502,0.0,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,blended_union,20,343,1105,93,8.42,1.308,0.213,0.452,0.666,184.73,0.8594,1.08,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,diverse,20,343,1105,238,21.54,1.308,0.012,1.04,1.052,116.94,0.8502,0.0,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,edge_weight,50,343,1105,54,4.89,1.308,0.154,0.549,0.704,174.82,0.9011,5.99,780.81,8.08,684,780.81,43.865,13.47,"[692.04, 684, 780.81]","[4, 4, 5]",13
assembly_1,3,0.95,subgraph_mip,time_balanced_weight,50,343,1105,141,12.76,1.308,0.229,0.783,1.012,121.5,0.8586,0.98,731.84,1.3,711.31,731.84,9.167,2.86,"[731.84, 711.31, 713.7]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,combined,50,343,1105,190,17.19,1.308,0.434,1.38,1.813,67.82,0.8577,0.87,731.84,1.3,711.31,731.84,9.167,2.86,"[731.84, 711.31, 713.7]","[3, 5, 5]",13
assembly_1,3,0.95,subgraph_mip,blended,50,343,1105,37,3.35,1.308,0.101,0.267,0.368,334.26,0.8502,0.0,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,blended_union,50,343,1105,146,13.21,1.308,0.454,0.679,1.132,108.62,0.8511,0.1,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,diverse,50,343,1105,506,45.79,1.308,0.024,14.524,14.548,8.45,0.8502,0.0,722.42,0.0,713.6,722.42,3.838,1.23,"[720.83, 722.42, 713.6]","[5, 3, 5]",13
assembly_1,3,0.95,subgraph_mip,edge_weight,100,343,1105,78,7.06,1.308,0.306,0.495,0.801,153.55,0.9011,5.99,780.81,8.08,684,780.81,43.865,13.47,"[692.04, 684, 780.81]","[4, 4, 5]",13
