instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_perc_graph,stop_reason
assembly_2,4,0.9,adaptive,1,22160,134216,44,0.03,44,190.143,1.09,0.175,1.266,1.0456,1.0126,3.26,,1.0611,1.0126,4.78,693,672.25,3.09,6.69,"[648, 693, 663, 685]","[8, 2, 4, 3]",17,3.0,
assembly_2,4,0.9,adaptive,2,22160,134216,48,0.04,4,190.143,1.422,0.726,2.148,1.0456,1.0126,3.26,0.0,1.0611,1.0126,4.78,693,672.25,3.09,6.69,"[648, 693, 663, 685]","[8, 2, 4, 3]",17,3.0,
assembly_2,4,0.9,adaptive,3,22160,134216,62,0.05,14,190.143,1.955,0.272,2.227,1.0456,1.0126,3.26,0.0,1.0611,1.0126,4.78,693,672.25,3.09,6.69,"[648, 693, 663, 685]","[8, 2, 4, 3]",17,3.0,
assembly_2,4,0.9,adaptive,4,22160,134216,62,0.05,0,190.143,2.51,0.272,2.783,1.0456,1.0126,3.26,0.0,1.0611,1.0126,4.78,693,672.25,3.09,6.69,"[648, 693, 663, 685]","[8, 2, 4, 3]",17,3.0,
assembly_2,4,0.9,adaptive,6,22160,134216,71,0.05,9,190.143,3.618,0.526,4.144,1.0456,1.0126,3.26,0.0,1.0611,1.0126,4.78,693,672.25,3.09,6.69,"[648, 693, 663, 685]","[8, 2, 4, 3]",17,3.0,
assembly_2,4,0.9,adaptive,8,22160,134216,76,0.06,5,190.143,4.607,0.481,5.088,1.0456,1.0126,3.26,0.0,1.0611,1.0126,4.78,693,672.25,3.09,6.69,"[648, 693, 663, 685]","[8, 2, 4, 3]",17,3.0,
assembly_2,4,0.9,adaptive,12,22160,134216,82,0.06,6,190.143,6.477,0.388,6.865,1.0456,1.0126,3.26,0.0,1.0611,1.0126,4.78,693,672.25,3.09,6.69,"[648, 693, 663, 685]","[8, 2, 4, 3]",17,3.0,
assembly_2,4,0.9,adaptive,16,22160,134216,92,0.07,10,190.143,8.223,0.611,8.834,1.0456,1.0126,3.26,0.0,1.0611,1.0126,4.78,693,672.25,3.09,6.69,"[648, 693, 663, 685]","[8, 2, 4, 3]",17,3.0,
assembly_2,4,0.9,adaptive,24,22160,134216,113,0.08,21,190.143,11.801,0.478,12.278,1.0456,1.0126,3.26,-0.0,1.0611,1.0126,4.78,693,672.25,3.09,6.69,"[648, 693, 663, 685]","[8, 2, 4, 3]",17,3.0,
assembly_2,4,0.9,adaptive,32,22160,134216,146,0.11,33,190.143,15.496,0.471,15.967,1.0456,1.0126,3.26,0.0,1.0611,1.0126,4.78,693,672.25,3.09,6.69,"[648, 693, 663, 685]","[8, 2, 4, 3]",17,3.0,
assembly_2,4,0.9,adaptive,48,22160,134216,242,0.18,96,190.143,19.767,0.864,20.631,1.0373,1.0126,2.44,0.7923,1.1545,1.0126,14.01,680,672.25,1.15,2.38,"[664, 680, 667, 678]","[3, 3, 8, 3]",17,3.0,
assembly_2,4,0.9,adaptive,64,22160,134216,443,0.33,201,190.143,20.612,3.744,24.356,1.0373,1.0126,2.44,0.0,1.1545,1.0126,14.01,680,672.25,1.15,2.38,"[664, 680, 667, 678]","[3, 3, 8, 3]",17,3.0,
assembly_2,4,0.9,adaptive,96,22160,134216,826,0.62,383,190.143,22.359,11.896,34.255,1.0341,1.0126,2.12,0.3106,1.1494,1.0126,13.5,678,672.25,0.86,2.08,"[664, 673, 678, 674]","[3, 4, 3, 7]",17,3.0,
assembly_2,4,0.9,adaptive,128,22160,134216,1190,0.89,364,190.143,24.106,27.377,51.483,1.0341,1.0126,2.12,0.0,1.1494,1.0126,13.5,678,672.25,0.86,2.08,"[664, 673, 678, 674]","[3, 4, 3, 7]",17,3.0,
assembly_2,4,0.9,adaptive,192,22160,134216,1889,1.41,699,190.143,27.52,65.467,92.988,1.0341,1.0126,2.12,0.0,1.1494,1.0126,13.5,678,672.25,0.86,2.08,"[664, 673, 678, 674]","[3, 4, 3, 7]",17,3.0,
assembly_2,4,0.9,adaptive,256,22160,134216,2532,1.89,643,190.143,32.656,112.033,144.689,1.0341,1.0126,2.12,0.0,1.1494,1.0126,13.5,678,672.25,0.86,2.08,"[664, 673, 678, 674]","[3, 4, 3, 7]",17,3.0,
assembly_2,4,0.9,adaptive,512,22160,134216,4877,3.63,2345,190.143,46.065,511.803,557.868,1.0341,1.0126,2.12,0.0,1.1494,1.0126,13.5,678,672.25,0.86,2.08,"[664, 673, 678, 674]","[3, 4, 3, 7]",17,3.0,stop_perc_graph
