instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,full_solve_s,speedup_vs_full,objective,obj_vs_full_pct,d_obj_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_reason
assembly_1,4,0.3,full_ref,,343,1105,1105,100.0,,0.117,0.0,23.527,23.527,23.527,1.0,0.8537,0.0,,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,full_ref
assembly_1,4,0.3,bl_union,1,343,1105,37,3.35,37,0.117,0.007,0.236,0.243,23.527,96.63,0.8537,0.0,,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,2,343,1105,43,3.89,6,0.117,0.012,0.439,0.451,23.527,52.17,0.8537,0.0,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,3,343,1105,49,4.43,6,0.117,0.017,0.218,0.235,23.527,99.9,0.8537,-0.0,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,4,343,1105,55,4.98,6,0.117,0.022,0.247,0.269,23.527,87.37,0.8537,0.0,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,6,343,1105,66,5.97,11,0.117,0.032,0.487,0.518,23.527,45.38,0.8537,0.0,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,8,343,1105,72,6.52,6,0.117,0.042,0.197,0.238,23.527,98.71,0.8537,0.0,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,12,343,1105,79,7.15,7,0.117,0.06,0.404,0.464,23.527,50.68,0.8537,0.0,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,16,343,1105,90,8.14,11,0.117,0.078,0.833,0.91,23.527,25.84,0.8537,-0.0,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,24,343,1105,96,8.69,6,0.117,0.115,1.132,1.247,23.527,18.86,0.8537,-0.0,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,32,343,1105,109,9.86,13,0.117,0.153,0.766,0.918,23.527,25.62,0.8537,0.0,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,48,343,1105,125,11.31,16,0.117,0.224,0.865,1.089,23.527,21.59,0.8537,0.0,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,stop_perc_graph
assembly_1,4,0.3,adaptive,1,343,1105,37,3.35,37,0.117,0.007,0.235,0.241,23.527,97.48,0.8537,0.0,,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,adaptive,2,343,1105,43,3.89,6,0.117,0.012,0.433,0.445,23.527,52.9,0.8537,0.0,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,adaptive,3,343,1105,49,4.43,6,0.117,0.017,0.214,0.231,23.527,102.06,0.8537,-0.0,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,adaptive,4,343,1105,55,4.98,6,0.117,0.022,0.242,0.264,23.527,89.04,0.8537,0.0,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,adaptive,6,343,1105,66,5.97,11,0.117,0.032,0.481,0.514,23.527,45.81,0.8537,0.0,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,adaptive,8,343,1105,72,6.52,6,0.117,0.041,0.195,0.237,23.527,99.42,0.8537,0.0,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,adaptive,12,343,1105,79,7.15,7,0.117,0.061,0.401,0.462,23.527,50.9,0.8537,0.0,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,adaptive,16,343,1105,90,8.14,11,0.117,0.077,0.832,0.91,23.527,25.86,0.8537,-0.0,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,adaptive,24,343,1105,115,10.41,25,0.117,0.102,1.249,1.351,23.527,17.41,0.8537,0.0,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,stop_perc_graph
