instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_perc_graph,stop_reason
assembly_1,5,0.2,adaptive,1,343,1105,35,3.17,35,0.272,0.015,0.76,0.775,0.8578,0.8329,2.98,,0.8329,0.8329,0.0,495.7,431.37,14.91,36.3,"[339.12, 486.92, 442, 393.11, 495.7]","[2, 2, 3, 3, 3]",13,10.0,
assembly_1,5,0.2,adaptive,2,343,1105,40,3.62,5,0.272,0.017,0.421,0.438,0.8578,0.8329,2.98,0.0,0.8329,0.8329,0.0,495.7,431.37,14.91,36.3,"[339.12, 486.92, 442, 393.11, 495.7]","[2, 2, 3, 3, 3]",13,10.0,
assembly_1,5,0.2,adaptive,3,343,1105,46,4.16,6,0.272,0.035,0.677,0.712,0.8578,0.8329,2.98,0.0,0.8329,0.8329,0.0,495.7,431.37,14.91,36.3,"[339.12, 486.92, 442, 393.11, 495.7]","[2, 2, 3, 3, 3]",13,10.0,
assembly_1,5,0.2,adaptive,4,343,1105,50,4.52,4,0.272,0.027,1.524,1.552,0.8578,0.8329,2.98,0.0,0.8329,0.8329,0.0,495.7,431.37,14.91,36.3,"[339.12, 486.92, 442, 393.11, 495.7]","[2, 2, 3, 3, 3]",13,10.0,
assembly_1,5,0.2,adaptive,6,343,1105,56,5.07,6,0.272,0.037,0.493,0.53,0.8578,0.8329,2.98,0.0,0.8329,0.8329,0.0,495.7,431.37,14.91,36.3,"[339.12, 486.92, 442, 393.11, 495.7]","[2, 2, 3, 3, 3]",13,10.0,
assembly_1,5,0.2,adaptive,8,343,1105,62,5.61,6,0.272,0.051,1.979,2.03,0.8578,0.8329,2.98,0.0,0.8329,0.8329,0.0,495.7,431.37,14.91,36.3,"[339.12, 486.92, 442, 393.11, 495.7]","[2, 2, 3, 3, 3]",13,10.0,
assembly_1,5,0.2,adaptive,12,343,1105,67,6.06,5,0.272,0.076,1.23,1.306,0.8578,0.8329,2.98,0.0,0.8329,0.8329,0.0,495.7,431.37,14.91,36.3,"[339.12, 486.92, 442, 393.11, 495.7]","[2, 2, 3, 3, 3]",13,10.0,
assembly_1,5,0.2,adaptive,16,343,1105,82,7.42,15,0.272,0.146,1.207,1.353,0.8558,0.8329,2.75,0.2277,0.8345,0.8329,0.19,487.31,431.37,12.97,34.35,"[339.12, 486.92, 442, 487.31, 401.5]","[2, 2, 3, 4, 2]",13,10.0,
assembly_1,5,0.2,adaptive,24,343,1105,128,11.58,46,0.272,0.121,1.626,1.747,0.8558,0.8329,2.75,0.0,0.8345,0.8329,0.19,487.31,431.37,12.97,34.35,"[339.12, 486.92, 442, 487.31, 401.5]","[2, 2, 3, 4, 2]",13,10.0,stop_perc_graph
