instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_perc_graph,stop_reason
assembly_1,5,0.9,adaptive,1,343,1105,35,3.17,35,0.283,0.015,0.402,0.417,0.865,0.8329,3.84,,0.8795,0.8329,5.59,447.12,431.37,3.65,8.39,"[436.68, 442, 420.13, 410.92, 447.12]","[3, 3, 2, 2, 3]",13,10.0,
assembly_1,5,0.9,adaptive,2,343,1105,40,3.62,5,0.283,0.025,0.782,0.807,0.865,0.8329,3.84,0.0,0.8795,0.8329,5.59,447.12,431.37,3.65,8.39,"[436.68, 442, 420.13, 410.92, 447.12]","[3, 3, 2, 2, 3]",13,10.0,
assembly_1,5,0.9,adaptive,3,343,1105,46,4.16,6,0.283,0.024,0.347,0.371,0.865,0.8329,3.84,0.0,0.8795,0.8329,5.59,447.12,431.37,3.65,8.39,"[436.68, 442, 420.13, 410.92, 447.12]","[3, 3, 2, 2, 3]",13,10.0,
assembly_1,5,0.9,adaptive,4,343,1105,50,4.52,4,0.283,0.027,0.482,0.509,0.865,0.8329,3.84,0.0,0.8795,0.8329,5.59,447.12,431.37,3.65,8.39,"[436.68, 442, 420.13, 410.92, 447.12]","[3, 3, 2, 2, 3]",13,10.0,
assembly_1,5,0.9,adaptive,6,343,1105,56,5.07,6,0.283,0.042,0.869,0.911,0.865,0.8329,3.84,0.0,0.8795,0.8329,5.59,447.12,431.37,3.65,8.39,"[436.68, 442, 420.13, 410.92, 447.12]","[3, 3, 2, 2, 3]",13,10.0,
assembly_1,5,0.9,adaptive,8,343,1105,62,5.61,6,0.283,0.047,0.973,1.02,0.865,0.8329,3.84,-0.0,0.8795,0.8329,5.59,447.12,431.37,3.65,8.39,"[436.68, 442, 420.13, 410.92, 447.12]","[3, 3, 2, 2, 3]",13,10.0,
assembly_1,5,0.9,adaptive,12,343,1105,67,6.06,5,0.283,0.1,0.699,0.799,0.865,0.8329,3.84,0.0,0.8795,0.8329,5.59,447.12,431.37,3.65,8.39,"[436.68, 442, 420.13, 410.92, 447.12]","[3, 3, 2, 2, 3]",13,10.0,
assembly_1,5,0.9,adaptive,16,343,1105,82,7.42,15,0.283,0.128,1.005,1.132,0.865,0.8329,3.84,0.0,0.8795,0.8329,5.59,447.12,431.37,3.65,8.39,"[436.68, 442, 420.13, 410.92, 447.12]","[3, 3, 2, 2, 3]",13,10.0,
assembly_1,5,0.9,adaptive,24,343,1105,127,11.49,45,0.283,0.112,1.904,2.016,0.865,0.8329,3.84,0.0,0.8795,0.8329,5.59,447.12,431.37,3.65,8.39,"[436.68, 442, 420.13, 410.92, 447.12]","[3, 3, 2, 2, 3]",13,10.0,stop_perc_graph
