instance,num_phases,w_balanced,red_perc,mean_total_s,mean_solve_s,mean_build_s,mean_objective,mean_max_phase_time,std_total_s,std_solve_s,std_build_s,std_objective,std_max_phase_time
assembly_1,2,0.0,0,0.4829050140688196,0.18392999999999998,0.27107888099271804,0.8329273450820582,2156.85,0.0,0.0,0.0,0.0,0.0
assembly_1,2,0.0,5,0.7664990334073082,0.167552,0.5733534526079893,0.8329273450820583,2156.85,0.04990303361264282,0.01366926714933906,0.058616264816335535,1.1102230246251565e-16,0.0
assembly_1,2,0.0,10,0.7308164946269244,0.1667112,0.534050362976268,0.8329273450820583,2156.85,0.04570358571101993,0.02667411475869443,0.023918103714501013,1.1102230246251565e-16,0.0
assembly_1,2,0.0,15,0.7542134389746934,0.1521534,0.5699698613956571,0.8329273450820583,2156.85,0.07085612262392522,0.017181291285581532,0.05525690138179293,1.1102230246251565e-16,0.0
assembly_1,2,0.0,20,0.8055325440131128,0.16655959999999997,0.6125644884072244,0.8329273450820583,2156.85,0.06487790671360912,0.0382783117004917,0.033917669116036435,1.1102230246251565e-16,0.0
assembly_1,2,0.0,25,0.7419881146168337,0.1376368,0.5752057182136923,0.8329273450820583,2156.85,0.04061844467768755,0.00901480760526813,0.02678671517431101,1.4043333874306804e-16,0.0
assembly_1,2,0.0,30,0.696689152601175,0.1412136,0.53215657339897,0.8329273450820583,2156.85,0.02411419538034077,0.02144855217118396,0.03195671499917073,1.1102230246251565e-16,0.0
assembly_1,2,0.0,35,0.6681139873806388,0.10372799999999997,0.5479281416162849,0.8329273450820583,2156.85,0.03085688728417274,0.014690111027490568,0.03122844790932277,1.4043333874306804e-16,0.0
assembly_1,2,0.0,40,0.7785942434100435,0.1468972,0.6025912685785443,0.8329273450820583,2156.85,0.07812573184536631,0.043794603020920274,0.033363300838968095,1.1102230246251565e-16,0.0
assembly_1,2,0.0,45,0.8241433305665851,0.1097188,0.6895396620035171,0.8329273450820581,2156.85,0.032566539767481494,0.007952887058169503,0.03827582433140855,7.021666937153402e-17,0.0
assembly_1,2,0.0,50,0.8160652158083395,0.08192359999999999,0.7046453383751213,0.8329273450820583,2156.85,0.030471606081196735,0.020288493266874208,0.027949451667498303,1.4043333874306804e-16,0.0
assembly_1,2,0.0,55,0.8014034119900316,0.0734332,0.6933428890071809,0.8329273450820583,2156.85,0.05321631097973275,0.0047100985722169355,0.051939636226775214,1.6467268631127714e-16,0.0
assembly_1,2,0.0,60,0.6839270657859743,0.034312999999999996,0.6359685764182359,0.8329273450820583,2156.85,0.02761147589173325,0.007727880304456067,0.025690131650995398,1.8577584504832502e-16,0.0
assembly_1,2,0.0,65,0.7484063600189984,0.0350988,0.6867299783974886,0.8329273450820583,2156.85,0.06561852191577883,0.007700887465740556,0.060232127475967984,1.1102230246251565e-16,0.0
assembly_1,2,0.0,70,0.836978123174049,0.0220284,0.7938183478079737,0.8329273450820583,2156.85,0.11242084493646849,0.007997640266978755,0.09761235097895168,1.8577584504832502e-16,0.0
assembly_1,2,0.1,0,1.1137674889760092,0.849891,0.2325642229989171,0.834751262299677,1102.04,0.0,0.0,0.0,0.0,0.0
assembly_1,2,0.1,5,1.6625999436248093,1.0837054,0.5501665004296228,0.8347512622996778,1102.04,0.1322365998408054,0.13684615733677,0.012556575038347976,0.0,0.0
assembly_1,2,0.1,10,1.74065343758557,1.1544767999999999,0.5603072650032118,0.8347512622996778,1102.04,0.02474104369960368,0.050261411561554906,0.03948172808190985,4.965068306494546e-17,0.0
assembly_1,2,0.1,15,1.6633819656213746,1.1036622,0.5246783970156684,0.8347512622996778,1102.04,0.34186510785896335,0.33703444454737863,0.05776199861567331,0.0,0.0
assembly_1,2,0.1,20,1.7860852369805797,1.1548748,0.6060863179853186,0.8347512622996778,1102.04,0.11806167205469938,0.10234444462773734,0.037825040469229916,0.0,0.0
assembly_1,2,0.1,25,1.7146024797810242,0.9933945999999999,0.6874222739832476,0.8347512622996778,1102.04,0.1442138313016211,0.11773532931894319,0.03511993855221275,4.965068306494546e-17,0.0
assembly_1,2,0.1,30,1.8388558059930802,1.105788,0.703392619616352,0.8347512622996778,1102.04,0.15634287495479038,0.1719649872119322,0.026115685444064222,4.965068306494546e-17,0.0
assembly_1,2,0.1,35,1.567201696196571,0.902383,0.6353510883869603,0.8347512622996778,1102.04,0.20828437700032884,0.14368649382179244,0.1007087559679445,9.930136612989092e-17,0.0
assembly_1,2,0.1,40,1.5515161210205406,0.9201823999999998,0.5981589438393712,0.8347512622996778,1102.04,0.10730872552426017,0.11347799841837183,0.02730085111461493,0.0,0.0
assembly_1,2,0.1,45,1.382128502591513,0.6600010000000001,0.6880062458105385,0.8347512622996778,1102.04,0.22074408164369902,0.14021013526418125,0.1583396545842547,0.0,0.0
assembly_1,2,0.1,50,1.2022439712425694,0.5886009999999999,0.5890910722315311,0.8347512622996778,1102.04,0.1640343407738596,0.17050067906375035,0.02740616338090307,4.965068306494546e-17,0.0
assembly_1,2,0.1,55,1.0556561695411801,0.46661279999999994,0.5655044710030779,0.8347512622996778,1102.04,0.15217365821289539,0.16566256648790637,0.0424014499824863,4.965068306494546e-17,0.0
assembly_1,2,0.1,60,1.2025865874020383,0.5525032,0.6336440443992615,0.8347512622996778,1102.04,0.18072451905260864,0.18715268172313215,0.06092617245217493,0.0,0.0
assembly_1,2,0.1,65,1.0211886155884713,0.439773,0.5671255992027,0.8347512622996778,1102.04,0.19153508162895455,0.17064428085582006,0.05453371899981878,7.021666937153402e-17,0.0
assembly_1,2,0.1,70,1.198710280377418,0.5059614,0.6786254599923268,0.8347512622996778,1102.04,0.14957575141429938,0.17933768554612273,0.07682745641563422,7.021666937153402e-17,0.0
assembly_1,2,0.2,0,2.1423202669247985,1.870426,0.24194861098658293,0.8365751795172971,1102.04,0.0,0.0,0.0,0.0,0.0
assembly_1,2,0.2,5,2.0862617587903514,1.5132532,0.5367746885865927,0.8365751795172972,1102.04,0.4688570019088119,0.44158969268514414,0.042113771753531176,7.021666937153402e-17,0.0
assembly_1,2,0.2,10,2.1146387781947853,1.5222558,0.5551444570301101,0.8365751795172972,1102.04,0.2028065650950265,0.19968719922358577,0.01105411715523191,7.021666937153402e-17,0.0
assembly_1,2,0.2,15,2.4513511802069843,1.824344,0.5924498919863254,0.8365751795172972,1102.04,0.3844884767588507,0.3624431661201518,0.07789314655958533,9.930136612989092e-17,0.0
