instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,full_solve_s,speedup_vs_full,objective,obj_vs_full_pct,d_obj_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_reason
assembly_1,4,0.3,full_ref,,343,1105,1105,100.0,,0.317,0.0,84.829,84.829,84.829,1.0,0.8537,0.0,,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,full_ref
assembly_1,4,0.3,bl_union,1,343,1105,37,3.35,37,0.317,0.01,0.233,0.243,84.829,348.52,0.8537,-0.0,,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,2,343,1105,43,3.89,6,0.317,0.017,0.355,0.372,84.829,227.8,0.8537,-0.0,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,3,343,1105,49,4.43,6,0.317,0.024,0.631,0.655,84.829,129.57,0.8537,-0.0,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,4,343,1105,55,4.98,6,0.317,0.032,0.535,0.567,84.829,149.67,0.8537,-0.0,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,6,343,1105,66,5.97,11,0.317,0.044,0.832,0.875,84.829,96.93,0.8537,-0.0,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,8,343,1105,72,6.52,6,0.317,0.059,0.734,0.793,84.829,106.95,0.8537,-0.0,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,12,343,1105,79,7.15,7,0.317,0.08,1.332,1.412,84.829,60.08,0.8537,0.0,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,16,343,1105,90,8.14,11,0.317,0.104,1.444,1.547,84.829,54.82,0.8537,0.0,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.3,bl_union,24,343,1105,96,8.69,6,0.317,0.157,0.828,0.985,84.829,86.08,0.8537,0.0,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
