instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,full_solve_s,speedup_vs_full,objective,obj_vs_full_pct,d_obj_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_reason
assembly_1,4,0.9,full_ref,,343,1105,1105,100.0,,0.311,0.0,167.787,167.787,167.787,1.0,0.8865,0.0,,574.62,0.0,502.2,574.62,29.643,13.43,"[502.2, 561.11, 574.62, 518.92]","[3, 4, 3, 3]",13,full_ref
assembly_1,4,0.9,bl_union,1,343,1105,37,3.35,37,0.311,0.01,0.574,0.584,167.787,287.38,0.8952,0.98,,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.9,bl_union,2,343,1105,43,3.89,6,0.311,0.016,0.195,0.212,167.787,792.12,0.8952,0.98,-0.0,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.9,bl_union,3,343,1105,49,4.43,6,0.311,0.023,0.944,0.967,167.787,173.52,0.8952,0.98,0.0,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.9,bl_union,4,343,1105,55,4.98,6,0.311,0.028,0.221,0.249,167.787,673.68,0.8952,0.98,0.0,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.9,bl_union,6,343,1105,66,5.97,11,0.311,0.04,0.294,0.334,167.787,502.44,0.8952,0.98,0.0,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.9,bl_union,8,343,1105,72,6.52,6,0.311,0.052,0.372,0.424,167.787,395.86,0.8952,0.98,0.0,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.9,bl_union,12,343,1105,79,7.15,7,0.311,0.076,0.424,0.5,167.787,335.51,0.8952,0.98,0.0,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.9,bl_union,16,343,1105,90,8.14,11,0.311,0.103,0.439,0.542,167.787,309.68,0.8952,0.98,-0.0,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.9,bl_union,24,343,1105,96,8.69,6,0.311,0.153,0.486,0.639,167.787,262.63,0.8952,0.98,0.0,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.9,bl_union,32,343,1105,109,9.86,13,0.311,0.2,0.468,0.668,167.787,251.2,0.8952,0.98,0.0,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.9,bl_union,48,343,1105,125,11.31,16,0.311,0.286,0.596,0.882,167.787,190.3,0.8952,0.98,-0.0,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,stop_perc_graph
assembly_1,4,0.9,diverse,1,343,1105,13,1.18,13,0.311,0.003,0.025,0.028,167.787,6036.57,0.9044,2.01,,574.62,0.0,518.92,574.62,22.439,10.33,"[542.48, 520.83, 574.62, 518.92]","[4, 3, 3, 3]",13,
assembly_1,4,0.9,diverse,2,343,1105,26,2.35,13,0.311,0.003,0.395,0.399,167.787,420.86,0.9044,2.01,-0.0,574.62,0.0,518.92,574.62,22.439,10.33,"[542.48, 520.83, 574.62, 518.92]","[4, 3, 3, 3]",13,
assembly_1,4,0.9,diverse,3,343,1105,39,3.53,13,0.311,0.004,0.158,0.162,167.787,1038.23,0.9044,2.01,0.0,574.62,0.0,518.92,574.62,22.439,10.33,"[542.48, 520.83, 574.62, 518.92]","[4, 3, 3, 3]",13,
assembly_1,4,0.9,diverse,4,343,1105,52,4.71,13,0.311,0.004,0.233,0.237,167.787,708.2,0.9044,2.01,0.0,574.62,0.0,518.92,574.62,22.439,10.33,"[542.48, 520.83, 574.62, 518.92]","[4, 3, 3, 3]",13,
assembly_1,4,0.9,diverse,6,343,1105,78,7.06,26,0.311,0.005,0.299,0.304,167.787,552.07,0.9044,2.01,0.0,574.62,0.0,518.92,574.62,22.439,10.33,"[542.48, 520.83, 574.62, 518.92]","[4, 3, 3, 3]",13,
assembly_1,4,0.9,diverse,8,343,1105,102,9.23,24,0.311,0.006,0.53,0.535,167.787,313.37,0.9044,2.01,-0.0,574.62,0.0,518.92,574.62,22.439,10.33,"[542.48, 520.83, 574.62, 518.92]","[4, 3, 3, 3]",13,
assembly_1,4,0.9,diverse,12,343,1105,150,13.57,48,0.311,0.007,0.821,0.828,167.787,202.54,0.9044,2.01,0.0,574.62,0.0,518.92,574.62,22.439,10.33,"[542.48, 520.83, 574.62, 518.92]","[4, 3, 3, 3]",13,stop_perc_graph
assembly_1,4,0.9,adaptive,1,343,1105,37,3.35,37,0.311,0.008,0.501,0.509,167.787,329.91,0.8952,0.98,,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.9,adaptive,2,343,1105,43,3.89,6,0.311,0.015,0.169,0.184,167.787,911.07,0.8952,0.98,-0.0,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.9,adaptive,3,343,1105,49,4.43,6,0.311,0.021,0.87,0.891,167.787,188.37,0.8952,0.98,0.0,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.9,adaptive,4,343,1105,55,4.98,6,0.311,0.026,0.211,0.238,167.787,705.36,0.8952,0.98,0.0,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.9,adaptive,6,343,1105,66,5.97,11,0.311,0.039,0.282,0.321,167.787,523.17,0.8952,0.98,0.0,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.9,adaptive,8,343,1105,72,6.52,6,0.311,0.051,0.356,0.407,167.787,412.19,0.8952,0.98,0.0,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
assembly_1,4,0.9,adaptive,12,343,1105,79,7.15,7,0.311,0.074,0.407,0.481,167.787,348.79,0.8952,0.98,0.0,584.04,1.64,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13,
