instance,num_phases,w_balanced,strategy,weight_attr,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,digraph_build_s,build_s,solve_s,elapsed_s,speedup_vs_full,objective,obj_vs_full_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total
assembly_1,4,0.45,full_mip,—,,343,1105,1105,100.0,0.336,0.0,157.212,157.212,1.0,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,edge_weight,1,343,1105,13,1.18,0.336,0.003,0.045,0.048,3270.86,0.8641,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,time_balanced_weight,1,343,1105,13,1.18,0.336,0.002,0.149,0.151,1042.38,1.0597,22.63,597.84,2.36,398.88,597.84,81.458,36.9,"[586.13, 574, 398.88, 597.84]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,combined,1,343,1105,26,2.35,0.336,0.003,0.112,0.115,1368.42,0.8641,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,blended,1,343,1105,13,1.18,0.336,0.002,0.049,0.052,3048.3,0.9025,4.44,586.13,0.36,502.2,586.13,31.528,15.57,"[502.2, 586.13, 520.92, 547.6]","[3, 3, 3, 4]",13
assembly_1,4,0.45,subgraph_mip,blended_union,1,343,1105,37,3.35,0.336,0.022,0.18,0.201,781.1,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,diverse,1,343,1105,13,1.18,0.336,0.004,0.047,0.05,3114.4,0.9025,4.44,586.13,0.36,502.2,586.13,31.528,15.57,"[502.2, 586.13, 520.92, 547.6]","[3, 3, 3, 4]",13
assembly_1,4,0.45,subgraph_mip,edge_weight,2,343,1105,15,1.36,0.336,0.009,0.235,0.244,644.93,0.8641,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,time_balanced_weight,2,343,1105,15,1.36,0.336,0.005,0.307,0.313,502.68,1.0597,22.63,597.84,2.36,398.88,597.84,81.458,36.9,"[586.13, 574, 398.88, 597.84]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,combined,2,343,1105,30,2.71,0.336,0.011,0.34,0.351,447.96,0.8641,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,blended,2,343,1105,15,1.36,0.336,0.005,0.467,0.472,333.01,0.9025,4.44,586.13,0.36,502.2,586.13,31.528,15.57,"[502.2, 586.13, 520.92, 547.6]","[3, 3, 3, 4]",13
assembly_1,4,0.45,subgraph_mip,blended_union,2,343,1105,43,3.89,0.336,0.022,1.047,1.069,147.09,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,diverse,2,343,1105,26,2.35,0.336,0.005,1.524,1.529,102.8,0.9025,4.44,586.13,0.36,502.2,586.13,31.528,15.57,"[502.2, 586.13, 520.92, 547.6]","[3, 3, 3, 4]",13
assembly_1,4,0.45,subgraph_mip,edge_weight,5,343,1105,21,1.9,0.336,0.013,0.516,0.529,297.2,0.8641,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,time_balanced_weight,5,343,1105,27,2.44,0.336,0.008,1.871,1.879,83.68,1.05,21.51,597.84,2.36,495.7,597.84,38.394,18.94,"[495.7, 516.63, 546.68, 597.84]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,combined,5,343,1105,48,4.34,0.336,0.04,0.848,0.887,177.22,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,blended,5,343,1105,21,1.9,0.336,0.031,0.159,0.19,826.72,0.9025,4.44,586.13,0.36,502.2,586.13,31.528,15.57,"[502.2, 586.13, 520.92, 547.6]","[3, 3, 3, 4]",13
assembly_1,4,0.45,subgraph_mip,blended_union,5,343,1105,60,5.43,0.336,0.079,0.555,0.634,248.09,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,diverse,5,343,1105,65,5.88,0.336,0.007,0.393,0.4,393.34,0.9025,4.44,586.13,0.36,502.2,586.13,31.528,15.57,"[502.2, 586.13, 520.92, 547.6]","[3, 3, 3, 4]",13
assembly_1,4,0.45,subgraph_mip,edge_weight,10,343,1105,24,2.17,0.336,0.05,0.43,0.48,327.67,0.8641,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,time_balanced_weight,10,343,1105,38,3.44,0.336,0.017,1.558,1.574,99.85,1.049,21.4,586.13,0.36,453.4,586.13,51.942,24.62,"[586.13, 574, 543.32, 453.4]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,combined,10,343,1105,62,5.61,0.336,0.042,0.702,0.743,211.48,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,blended,10,343,1105,24,2.17,0.336,0.044,0.611,0.654,240.3,0.9025,4.44,586.13,0.36,502.2,586.13,31.528,15.57,"[502.2, 586.13, 520.92, 547.6]","[3, 3, 3, 4]",13
assembly_1,4,0.45,subgraph_mip,blended_union,10,343,1105,76,6.88,0.336,0.139,1.023,1.162,135.35,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,diverse,10,343,1105,126,11.4,0.336,0.01,1.287,1.297,121.2,0.877,1.49,581.12,-0.5,511.4,581.12,29.509,12.93,"[581.12, 511.4, 552.83, 511.5]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,edge_weight,20,343,1105,35,3.17,0.336,0.114,0.564,0.678,231.89,0.8641,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,time_balanced_weight,20,343,1105,42,3.8,0.336,0.04,0.668,0.708,221.96,1.049,21.4,586.13,0.36,453.4,586.13,51.942,24.62,"[586.13, 574, 543.32, 453.4]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,combined,20,343,1105,77,6.97,0.336,0.117,0.476,0.593,265.06,0.8641,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,blended,20,343,1105,30,2.71,0.336,0.099,0.427,0.527,298.56,0.9025,4.44,586.13,0.36,502.2,586.13,31.528,15.57,"[502.2, 586.13, 520.92, 547.6]","[3, 3, 3, 4]",13
assembly_1,4,0.45,subgraph_mip,blended_union,20,343,1105,92,8.33,0.336,0.242,1.151,1.393,112.86,0.8641,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,diverse,20,343,1105,239,21.63,0.336,0.015,2.454,2.468,63.69,0.8669,0.33,584.04,0.0,501.98,584.04,32.321,15.22,"[584.04, 516, 554.83, 501.98]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,edge_weight,50,343,1105,54,4.89,0.336,0.181,1.107,1.288,122.04,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,time_balanced_weight,50,343,1105,63,5.7,0.336,0.103,0.925,1.028,152.95,1.0488,21.38,597.84,2.36,495.7,597.84,38.394,18.94,"[495.7, 516.63, 546.68, 597.84]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,combined,50,343,1105,116,10.5,0.336,0.292,2.131,2.423,64.89,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,blended,50,343,1105,38,3.44,0.336,0.27,0.701,0.971,161.86,0.9025,4.44,586.13,0.36,502.2,586.13,31.528,15.57,"[502.2, 586.13, 520.92, 547.6]","[3, 3, 3, 4]",13
assembly_1,4,0.45,subgraph_mip,blended_union,50,343,1105,125,11.31,0.336,0.595,1.348,1.943,80.91,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,diverse,50,343,1105,510,46.15,0.336,0.054,8.82,8.874,17.72,0.8669,0.33,584.04,0.0,501.98,584.04,32.321,15.22,"[584.04, 516, 554.83, 501.98]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,edge_weight,100,343,1105,78,7.06,0.336,0.304,1.664,1.968,79.87,0.8641,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,time_balanced_weight,100,343,1105,86,7.78,0.336,0.189,1.511,1.7,92.46,1.0462,21.07,597.84,2.36,495.7,597.84,38.394,18.94,"[495.7, 516.63, 546.68, 597.84]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,combined,100,343,1105,162,14.66,0.336,0.579,1.88,2.459,63.94,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,blended,100,343,1105,45,4.07,0.336,0.438,1.525,1.963,80.09,0.9025,4.44,586.13,0.36,502.2,586.13,31.528,15.57,"[502.2, 586.13, 520.92, 547.6]","[3, 3, 3, 4]",13
assembly_1,4,0.45,subgraph_mip,blended_union,100,343,1105,153,13.85,0.336,1.317,4.097,5.414,29.04,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,diverse,100,343,1105,749,67.78,0.336,0.123,16.553,16.676,9.43,0.8657,0.19,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,edge_weight,200,343,1105,95,8.6,0.336,0.807,1.173,1.979,79.42,0.8641,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,time_balanced_weight,200,343,1105,111,10.05,0.336,0.468,2.118,2.586,60.8,1.0405,20.41,586.13,0.36,453.4,586.13,53.222,24.62,"[586.13, 536.2, 581.12, 453.4]","[3, 4, 3, 3]",13
assembly_1,4,0.45,subgraph_mip,combined,200,343,1105,202,18.28,0.336,1.083,1.854,2.937,53.53,0.8641,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,blended,200,343,1105,50,4.52,0.336,0.965,1.69,2.655,59.21,0.8866,2.61,581.12,-0.5,511.5,581.12,27.859,12.91,"[581.12, 516.63, 511.5, 547.6]","[3, 3, 3, 4]",13
assembly_1,4,0.45,subgraph_mip,blended_union,200,343,1105,177,16.02,0.336,2.429,2.034,4.463,35.22,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,diverse,200,343,1105,911,82.44,0.336,0.19,28.082,28.273,5.56,0.8657,0.19,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,edge_weight,500,343,1105,108,9.77,0.336,1.673,1.004,2.677,58.73,0.8641,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,time_balanced_weight,500,343,1105,153,13.85,0.336,1.142,2.086,3.228,48.7,1.0369,19.99,581.12,-0.5,495.7,581.12,34.44,15.84,"[495.7, 516.63, 581.12, 563.4]","[3, 3, 3, 4]",13
assembly_1,4,0.45,subgraph_mip,combined,500,343,1105,257,23.26,0.336,3.062,2.556,5.618,27.98,0.8641,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,blended,500,343,1105,122,11.04,0.336,2.085,1.115,3.199,49.14,0.8817,2.04,574.62,-1.61,502.2,574.62,29.643,13.43,"[502.2, 561.11, 574.62, 518.92]","[3, 4, 3, 3]",13
assembly_1,4,0.45,subgraph_mip,blended_union,500,343,1105,245,22.17,0.336,6.121,6.243,12.364,12.72,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,diverse,500,343,1105,1041,94.21,0.336,0.515,30.803,31.318,5.02,0.8641,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,edge_weight,1000,343,1105,142,12.85,0.336,3.456,1.634,5.09,30.88,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,time_balanced_weight,1000,343,1105,211,19.1,0.336,2.932,5.653,8.585,18.31,1.0344,19.72,581.12,-0.5,495.7,581.12,34.44,15.84,"[495.7, 516.63, 581.12, 563.4]","[3, 3, 3, 4]",13
assembly_1,4,0.45,subgraph_mip,combined,1000,343,1105,346,31.31,0.336,6.771,3.995,10.767,14.6,0.8641,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,blended,1000,343,1105,196,17.74,0.336,4.022,3.81,7.832,20.07,0.8681,0.46,584.04,0.0,508.48,584.04,31.94,14.01,"[584.04, 508.48, 554.83, 509.5]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,blended_union,1000,343,1105,297,26.88,0.336,12.496,18.374,30.869,5.09,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,diverse,1000,343,1105,1102,99.73,0.336,1.031,25.552,26.583,5.91,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,edge_weight,2000,343,1105,185,16.74,0.336,8.123,1.869,9.992,15.73,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.45,subgraph_mip,time_balanced_weight,2000,343,1105,292,26.43,0.336,6.996,14.033,21.028,7.48,1.0344,19.72,581.12,-0.5,495.7,581.12,34.44,15.84,"[495.7, 516.63, 581.12, 563.4]","[3, 3, 3, 4]",13
assembly_1,4,0.45,subgraph_mip,combined,2000,343,1105,460,41.63,0.336,15.995,5.742,21.737,7.23,0.8641,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
