instance,num_phases,w_balanced,strategy,weight_attr,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,digraph_build_s,build_s,solve_s,elapsed_s,speedup_vs_full,objective,obj_vs_full_pct,alpha_abs,vs_full_pct,phase_time_min,phase_time_max,phase_time_std,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total
assembly_1,4,0.6,full_mip,—,,343,1105,1105,100.0,0.379,0.0,62.827,62.827,1.0,0.8745,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.6,subgraph_mip,edge_weight,1,343,1105,13,1.18,0.379,0.001,0.052,0.054,1172.58,0.8745,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.6,subgraph_mip,time_balanced_weight,1,343,1105,13,1.18,0.379,0.001,0.042,0.043,1467.95,1.0225,16.93,597.84,2.36,398.88,597.84,81.458,36.9,"[586.13, 574, 398.88, 597.84]","[3, 3, 4, 3]",13
assembly_1,4,0.6,subgraph_mip,combined,1,343,1105,26,2.35,0.379,0.002,1.202,1.204,52.19,0.8745,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.6,subgraph_mip,blended,1,343,1105,13,1.18,0.379,0.001,0.173,0.174,360.08,0.9033,3.29,586.13,0.36,502.2,586.13,31.528,15.57,"[502.2, 586.13, 520.92, 547.6]","[3, 3, 3, 4]",13
assembly_1,4,0.6,subgraph_mip,blended_union,1,343,1105,37,3.35,0.379,0.012,0.86,0.872,72.03,0.8745,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.6,subgraph_mip,diverse,1,343,1105,13,1.18,0.379,0.004,0.147,0.151,415.23,0.9033,3.29,586.13,0.36,502.2,586.13,31.528,15.57,"[502.2, 586.13, 520.92, 547.6]","[3, 3, 3, 4]",13
assembly_1,4,0.6,subgraph_mip,edge_weight,2,343,1105,15,1.36,0.379,0.004,0.172,0.176,357.66,0.8745,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.6,subgraph_mip,time_balanced_weight,2,343,1105,15,1.36,0.379,0.003,0.156,0.159,394.7,1.0225,16.93,597.84,2.36,398.88,597.84,81.458,36.9,"[586.13, 574, 398.88, 597.84]","[3, 3, 4, 3]",13
assembly_1,4,0.6,subgraph_mip,combined,2,343,1105,30,2.71,0.379,0.012,0.353,0.365,172.01,0.8745,-0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
assembly_1,4,0.6,subgraph_mip,blended,2,343,1105,15,1.36,0.379,0.01,0.317,0.327,191.92,0.9033,3.29,586.13,0.36,502.2,586.13,31.528,15.57,"[502.2, 586.13, 520.92, 547.6]","[3, 3, 3, 4]",13
assembly_1,4,0.6,subgraph_mip,blended_union,2,343,1105,43,3.89,0.379,0.047,1.152,1.199,52.38,0.8745,0.0,584.04,0.0,495.7,584.04,34.455,16.38,"[584.04, 518, 559.11, 495.7]","[3, 3, 4, 3]",13
