instance,num_phases,w_balanced,method,k,digraph_nodes,digraph_edges,subgraph_edges,subgraph_pct,d_edges,digraph_build_s,build_s,solve_s,elapsed_s,objective,ideal_obj,obj_vs_ideal_pct,d_obj_pct,path_cost,c_min,path_cost_vs_cmin_pct,alpha_abs,phase_width,alpha_vs_width_pct,imbalance_pct,abs_time_per_phase,ops_per_phase,n_ops_total,stop_reason
assembly_1,2,0.1,adaptive,1,343,1105,31,2.81,31,0.329,0.014,0.012,0.026,0.8348,0.8329,0.22,,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,
assembly_1,2,0.1,adaptive,2,343,1105,36,3.26,5,0.329,0.027,0.014,0.041,0.8348,0.8329,0.22,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,
assembly_1,2,0.1,adaptive,3,343,1105,42,3.8,6,0.329,0.027,0.092,0.119,0.8348,0.8329,0.22,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,
assembly_1,2,0.1,adaptive,4,343,1105,45,4.07,3,0.329,0.054,0.095,0.148,0.8348,0.8329,0.22,-0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,
assembly_1,2,0.1,adaptive,6,343,1105,52,4.71,7,0.329,0.053,0.148,0.201,0.8348,0.8329,0.22,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,
assembly_1,2,0.1,adaptive,8,343,1105,61,5.52,9,0.329,0.057,0.097,0.155,0.8348,0.8329,0.22,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,
assembly_1,2,0.1,adaptive,12,343,1105,71,6.43,10,0.329,0.109,0.136,0.246,0.8348,0.8329,0.22,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,
assembly_1,2,0.1,adaptive,16,343,1105,82,7.42,11,0.329,0.139,0.168,0.307,0.8348,0.8329,0.22,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,
assembly_1,2,0.1,adaptive,24,343,1105,93,8.42,11,0.329,0.172,0.162,0.333,0.8348,0.8329,0.22,-0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,
assembly_1,2,0.1,adaptive,32,343,1105,109,9.86,16,0.329,0.212,0.257,0.469,0.8348,0.8329,0.22,0.0,0.8329,0.8329,0.0,1102.04,1078.425,2.19,4.38,"[1102.04, 1054.81]","[6, 7]",13,
